Chicago, Illinois, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
195905,64.8,5.7
196005,57.7,-1.4
196105,54.7,-4.4
196205,64.9,5.8
196305,56.3,-2.8
196405,62.6,3.5
196505,61.5,2.4
196605,53.4,-5.7
196705,53.8,-5.3
196805,56.8,-2.3
196905,60.4,1.3
197005,61.9,2.8
197105,57.2,-1.9
197205,61.0,1.9
197305,54.7,-4.4
197405,56.8,-2.3
197505,62.2,3.1
197605,55.8,-3.3
197705,67.3,8.2
197805,58.3,-0.8
197905,59.2,0.1
198005,59.7,0.6
198105,55.2,-3.9
198205,64.2,5.1
198305,53.2,-5.9
198405,55.4,-3.7
198505,60.1,1.0
198605,59.4,0.3
198705,63.3,4.2
198805,61.0,1.9
198905,57.7,-1.4
199005,56.1,-3.0
199105,65.7,6.6
199205,56.8,-2.3
199305,59.7,0.6
199405,58.3,-0.8
199505,58.6,-0.5
199605,55.0,-4.1
199705,53.8,-5.3
199805,64.8,5.7
199905,61.7,2.6
200005,62.1,3.0
200105,60.1,1.0
200205,55.2,-3.9
200305,56.3,-2.8
200405,60.1,1.0
200505,57.0,-2.1
200605,59.5,0.4
200705,63.9,4.8
200805,55.6,-3.5
200905,59.9,0.8
201005,61.7,2.6
201105,57.9,-1.2
201205,65.5,6.4
201305,61.0,1.9
201405,60.4,1.3
201505,60.3,1.2
