Glasgow, Montana, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
195912,9.71,-1.82
196012,7.35,-4.18
196112,8.92,-2.61
196212,17.80,6.27
196312,14.71,3.18
196412,10.57,-0.96
196512,14.34,2.81
196612,12.63,1.10
196712,9.99,-1.54
196812,7.68,-3.85
196912,10.53,-1.00
197012,10.31,-1.22
197112,6.95,-4.58
197212,15.25,3.72
197312,11.22,-0.31
197412,13.16,1.63
197512,13.96,2.43
197612,13.59,2.06
197712,9.34,-2.19
197812,15.93,4.40
197912,8.16,-3.37
198012,8.97,-2.56
198112,8.83,-2.70
198212,12.23,0.70
198312,7.61,-3.92
198412,6.78,-4.75
198512,12.86,1.33
198612,13.41,1.88
198712,9.29,-2.24
198812,7.49,-4.04
198912,10.35,-1.18
199012,6.87,-4.66
199112,11.04,-0.49
199212,9.26,-2.27
199312,16.29,4.76
199412,10.04,-1.49
199512,13.20,1.67
199612,10.43,-1.10
199712,11.78,0.25
199812,14.85,3.32
199912,14.31,2.78
200012,14.21,2.68
200112,12.70,1.17
200212,12.38,0.85
200312,10.82,-0.71
200412,12.49,0.96
200512,10.16,-1.37
200612,10.67,-0.86
200712,15.10,3.57
200812,15.56,4.03
200912,10.17,-1.36
201012,18.10,6.57
201112,23.01,11.48
201212,13.04,1.51
201312,15.91,4.38
201412,15.02,3.49
