Glasgow, Montana, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
196012,41.9,-0.6
196112,44.2,1.7
196212,42.8,0.3
196312,44.5,2.0
196412,42.7,0.2
196512,39.5,-3.0
196712,41.2,-1.3
196812,41.9,-0.6
196912,39.7,-2.8
197012,41.1,-1.4
197112,41.6,-0.9
197212,40.1,-2.4
197312,44.1,1.6
197412,44.2,1.7
197512,41.2,-1.3
197612,44.0,1.5
197712,41.6,-0.9
197812,38.1,-4.4
197912,39.8,-2.7
198012,43.9,1.4
198112,46.7,4.2
198212,39.1,-3.4
198312,43.4,0.9
198412,44.3,1.8
198512,39.8,-2.7
198612,44.2,1.7
198712,47.5,5.0
198812,45.6,3.1
198912,41.6,-0.9
199012,44.9,2.4
199112,45.1,2.6
199212,45.2,2.7
199312,40.5,-2.0
199412,42.7,0.2
199512,41.8,-0.7
199612,38.2,-4.3
199712,42.8,0.3
199812,45.6,3.1
199912,45.2,2.7
200012,42.5,0.0
200112,44.2,1.7
200212,41.6,-0.9
200312,43.4,0.9
200412,42.0,-0.5
200512,44.2,1.7
200612,45.9,3.4
200712,45.2,2.7
200812,42.0,-0.5
200912,40.8,-1.7
201012,41.1,-1.4
201112,41.7,-0.8
201212,45.4,2.9
201312,42.3,-0.2
201412,42.3,-0.2
