Honolulu, Hawaii, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
195912,76.7,-0.3
196012,76.7,-0.3
196112,77.2,0.2
196212,76.5,-0.5
196312,76.7,-0.3
196412,77.0,0.0
196512,76.1,-0.9
196612,77.5,0.5
196712,77.6,0.6
196812,77.9,0.9
196912,77.4,0.4
197012,78.1,1.1
197112,76.1,-0.9
197212,76.2,-0.8
197312,77.2,0.2
197412,77.5,0.5
197512,76.2,-0.8
197612,76.7,-0.3
197712,78.2,1.2
197812,76.7,-0.3
197912,77.0,0.0
198012,77.4,0.4
198112,77.1,0.1
198212,76.9,-0.1
198312,77.2,0.2
198412,78.1,1.1
198512,76.9,-0.1
198612,78.3,1.3
198712,77.8,0.8
198812,78.5,1.5
198912,77.5,0.5
199012,77.6,0.6
199112,77.7,0.7
199212,77.8,0.8
199312,77.1,0.1
199412,78.8,1.8
199512,79.3,2.3
199612,78.5,1.5
199712,77.8,0.8
199812,77.1,0.1
199912,76.9,-0.1
200012,77.6,0.6
200112,78.2,1.2
200212,77.8,0.8
200312,78.5,1.5
200412,78.7,1.7
200512,78.3,1.3
200612,77.1,0.1
200712,78.0,1.0
200812,78.3,1.3
200912,77.8,0.8
201012,77.5,0.5
201112,78.3,1.3
201212,77.2,0.2
201312,77.1,0.1
201412,78.2,1.2
