Juneau, Alaska, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
195912,55.73,3.59
196012,57.82,5.68
196112,68.12,15.98
196212,61.85,9.71
196312,57.43,5.29
196412,58.30,6.16
196512,47.91,-4.23
196612,58.32,6.18
196712,50.11,-2.03
196812,48.09,-4.05
196912,51.02,-1.12
197012,53.27,1.13
197112,48.65,-3.49
197212,53.68,1.54
197312,45.89,-6.25
197412,63.89,11.75
197512,46.36,-5.78
197612,56.46,4.32
197712,47.21,-4.93
197812,46.12,-6.02
197912,49.33,-2.81
198012,61.94,9.80
198112,54.35,2.21
198212,41.16,-10.98
198312,41.59,-10.55
198412,57.69,5.55
198512,49.10,-3.04
198612,60.94,8.80
198712,58.85,6.71
198812,60.81,8.67
198912,46.94,-5.20
199012,57.40,5.26
199112,85.18,33.04
199212,79.32,27.18
199312,71.62,19.48
199412,68.95,16.81
199512,46.49,-5.65
199612,60.49,8.35
199712,74.68,22.54
199812,53.22,1.08
199912,79.05,26.91
200012,69.02,16.88
200112,59.41,7.27
200212,62.31,10.17
200312,54.17,2.03
200412,65.29,13.15
200512,74.06,21.92
200612,74.31,22.17
200712,59.93,7.79
200812,73.53,21.39
200912,59.30,7.16
201012,53.96,1.82
201112,66.71,14.57
201212,63.45,11.31
201312,73.78,21.64
201412,68.71,16.57
