North America Snow Cover Extent (1966-2015)
Units: million square km
1981-2010 Mean: 8.37
Date,Value,Anomaly
196611,11.71,3.34
196612,13.99,5.62
196701,15.63,7.26
196702,15.04,6.67
196703,13.94,5.57
196704,12.15,3.78
196705,8.73,0.36
196706,5.40,-2.97
196707,2.85,-5.52
196708,1.70,-6.67
196709,2.03,-6.34
196710,5.94,-2.43
196711,10.96,2.59
196712,14.44,6.07
196801,15.49,7.12
196802,13.86,5.49
196803,11.89,3.52
196804,10.02,1.65
196805,6.11,-2.26
196806,3.11,-5.26
196807,-9999,-9999
196808,0.27,-8.10
196809,0.84,-7.53
196810,5.31,-3.06
196811,11.22,2.85
196812,15.14,6.77
196901,15.80,7.43
196902,15.70,7.33
196903,15.14,6.77
196904,10.97,2.60
196905,6.55,-1.82
196906,-9999,-9999
196907,-9999,-9999
196908,-9999,-9999
196909,-9999,-9999
196910,-9999,-9999
196911,10.92,2.55
196912,15.02,6.65
197001,16.13,7.76
197002,14.59,6.22
197003,14.19,5.82
197004,12.26,3.89
197005,7.58,-0.79
197006,4.18,-4.19
197007,1.44,-6.93
197008,0.34,-8.03
197009,1.54,-6.83
197010,6.53,-1.84
197011,11.29,2.92
197012,15.18,6.81
197101,15.80,7.43
197102,14.99,6.62
197103,14.84,6.47
197104,11.46,3.09
197105,6.83,-1.54
197106,3.39,-4.98
197107,-9999,-9999
197108,-9999,-9999
197109,-9999,-9999
197110,7.04,-1.33
197111,11.84,3.47
197112,14.98,6.61
197201,14.78,6.41
197202,14.76,6.39
197203,13.15,4.78
197204,11.52,3.15
197205,7.72,-0.65
197206,4.44,-3.93
197207,2.02,-6.35
197208,1.51,-6.86
197209,2.84,-5.53
197210,7.11,-1.26
197211,11.08,2.71
197212,15.21,6.84
197301,14.66,6.29
197302,14.71,6.34
197303,12.63,4.26
197304,11.27,2.90
197305,7.45,-0.92
197306,4.97,-3.40
197307,1.95,-6.42
197308,1.35,-7.02
197309,1.72,-6.65
197310,5.66,-2.71
197311,12.34,3.97
197312,14.48,6.11
