Wichita, Kansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
195912,55.9,-0.6
196012,55.1,-1.4
196112,55.0,-1.5
196212,56.9,0.4
196312,57.9,1.4
196412,57.6,1.1
196512,57.7,1.2
196612,56.2,-0.3
196712,56.1,-0.4
196812,55.4,-1.1
196912,55.2,-1.3
197012,55.9,-0.6
197112,55.7,-0.8
197212,54.7,-1.8
197312,55.8,-0.7
197412,56.2,-0.3
197512,55.2,-1.3
197712,58.3,1.8
197912,54.5,-2.0
198012,57.7,1.2
198112,57.9,1.4
198212,55.1,-1.4
198312,54.2,-2.3
198412,56.5,0.0
198512,55.1,-1.4
198612,58.1,1.6
198712,57.5,1.0
198812,57.0,0.5
198912,55.3,-1.2
199012,58.4,1.9
199112,58.6,2.1
199212,56.9,0.4
199312,54.9,-1.6
199412,57.2,0.7
199512,55.8,-0.7
199612,55.5,-1.0
199712,55.7,-0.8
199812,58.9,2.4
199912,58.1,1.6
200012,57.3,0.8
200112,58.3,1.8
200212,56.8,0.3
200312,56.7,0.2
200412,57.4,0.9
200512,57.8,1.3
200612,59.5,3.0
200712,57.4,0.9
200812,56.0,-0.5
200912,56.4,-0.1
201012,58.3,1.8
201112,58.5,2.0
201212,61.4,4.9
201312,56.2,-0.3
